t,q,ask_fee,bid_fee,spread,skew,value
0,-20000,0.04,0.01,0.05,0.03,-14878.19616291031
0,-19900,0.04,0.01,0.05,0.03,-14881.432827909899
0,-19800,0.04,0.01,0.05,0.03,-14884.652162812845
0,-19700,0.04,0.01,0.05,0.03,-14887.853717012602
0,-19600,0.04,0.01,0.05,0.03,-14891.03731026144
0,-19500,0.04,0.01,0.05,0.03,-14894.202904710162
0,-19400,0.04,0.01,0.05,0.03,-14897.35053820345
0,-19300,0.04,0.01,0.05,0.03,-14900.480292310402
0,-19200,0.04,0.01,0.05,0.03,-14903.592277857602
0,-19100,0.04,0.01,0.05,0.03,-14906.686627751862
0,-19000,0.04,0.01,0.05,0.03,-14909.76349153326
0,-18900,0.04,0.01,0.05,0.03,-14912.823028957326
0,-18800,0.04,0.01,0.05,0.03,-14915.865401629499
0,-18700,0.04,0.01,0.05,0.03,-14918.890762805626
0,-18600,0.04,0.01,0.05,0.03,-14921.899246219516
0,-18500,0.04,0.01,0.05,0.03,-14924.890955331566
0,-18400,0.04,0.01,0.05,0.03,-14927.865954734063
0,-18300,0.04,0.01,0.05,0.03,-14930.82426557126
0,-18200,0.04,0.01,0.05,0.03,-14933.765866688474
0,-18100,0.04,0.01,0.05,0.03,-14936.690702770791
0,-18000,0.04,0.01,0.05,0.03,-14939.59869994921
0,-17900,0.04,0.01,0.05,0.03,-14942.489788262696
0,-17800,0.04,0.01,0.05,0.03,-14945.363929051286
0,-17700,0.04,0.01,0.05,0.03,-14948.221143981604
0,-17600,0.04,0.01,0.05,0.03,-14951.061541215666
0,-17500,0.04,0.01,0.05,0.03,-14953.885333535853
0,-17400,0.04,0.01,0.05,0.03,-14956.692843349914
0,-17300,0.04,0.01,0.05,0.03,-14959.484490658067
0,-17200,0.04,0.01,0.05,0.03,-14962.26076232121
0,-17100,0.04,0.01,0.05,0.03,-14965.022164103146
0,-17000,0.04,0.01,0.05,0.03,-14967.769160444417
0,-16900,0.04,0.01,0.05,0.03,-14970.502110004001
0,-16800,0.04,0.01,0.05,0.03,-14973.221206861226
0,-16700,0.04,0.01,0.05,0.03,-14975.926437267597
0,-16600,0.04,0.01,0.05,0.03,-14978.617559751969
0,-16500,0.04,0.01,0.05,0.03,-14981.294112524087
0,-16400,0.04,0.01,0.05,0.03,-14983.955447303875
0,-16300,0.04,0.01,0.05,0.03,-14986.600784034978
0,-16200,0.04,0.01,0.05,0.03,-14989.22927750737
0,-16100,0.04,0.01,0.05,0.03,-14991.840085469279
0,-16000,0.04,0.01,0.05,0.03,-14994.432428564505
0,-15900,0.04,0.01,0.05,0.03,-14997.005635023512
0,-15800,0.04,0.01,0.05,0.03,-14999.559166674766
0,-15700,0.04,0.01,0.05,0.03,-15002.092626561453
0,-15600,0.04,0.01,0.05,0.03,-15004.605751405355
0,-15500,0.04,0.015,0.055,0.025,-15007.10389685897
0,-15400,0.04,0.015,0.055,0.025,-15009.627399564291
0,-15300,0.04,0.015,0.055,0.025,-15012.130359735454
0,-15200,0.04,0.015,0.055,0.025,-15014.612711244848
0,-15100,0.035,0.015,0.05,0.020000000000000004,-15017.10583135932
0,-15000,0.035,0.015,0.05,0.020000000000000004,-15019.598407121557
0,-14900,0.035,0.015,0.05,0.020000000000000004,-15022.070464477636
0,-14800,0.035,0.015,0.05,0.020000000000000004,-15024.52201617087
0,-14700,0.035,0.015,0.05,0.020000000000000004,-15026.953123368114
0,-14600,0.035,0.015,0.05,0.020000000000000004,-15029.363879794684
0,-14500,0.035,0.015,0.05,0.020000000000000004,-15031.754399917403
0,-14400,0.035,0.015,0.05,0.020000000000000004,-15034.12481074772
0,-14300,0.035,0.015,0.05,0.020000000000000004,-15036.475246513104
0,-14200,0.035,0.015,0.05,0.020000000000000004,-15038.805845399254
0,-14100,0.035,0.015,0.05,0.020000000000000004,-15041.116747675254
0,-14000,0.035,0.015,0.05,0.020000000000000004,-15043.408094682023
0,-13900,0.035,0.015,0.05,0.020000000000000004,-15045.680028327335
0,-13800,0.035,0.015,0.05,0.020000000000000004,-15047.932690858865
0,-13700,0.035,0.015,0.05,0.020000000000000004,-15050.166224775614
0,-13600,0.035,0.015,0.05,0.020000000000000004,-15052.380772793143
0,-13500,0.035,0.015,0.05,0.020000000000000004,-15054.576477810679
0,-13400,0.035,0.015,0.05,0.020000000000000004,-15056.753482848027
0,-13300,0.035,0.015,0.05,0.020000000000000004,-15058.911930935685
0,-13200,0.035,0.015,0.05,0.020000000000000004,-15061.05196495602
0,-13100,0.035,0.015,0.05,0.020000000000000004,-15063.173727450858
0,-13000,0.035,0.015,0.05,0.020000000000000004,-15065.277360428721
0,-12900,0.035,0.015,0.05,0.020000000000000004,-15067.363005222438
0,-12800,0.035,0.015,0.05,0.020000000000000004,-15069.430802458986
0,-12700,0.035,0.015,0.05,0.020000000000000004,-15071.480892203963
0,-12600,0.035,0.015,0.05,0.020000000000000004,-15073.513414326357
0,-12500,0.035,0.015,0.05,0.020000000000000004,-15075.528509093308
0,-12400,0.035,0.015,0.05,0.020000000000000004,-15077.52631794764
0,-12300,0.035,0.015,0.05,0.020000000000000004,-15079.506984349468
0,-12200,0.035,0.015,0.05,0.020000000000000004,-15081.470654488372
0,-12100,0.035,0.015,0.05,0.020000000000000004,-15083.417477612835
0,-12000,0.035,0.015,0.05,0.020000000000000004,-15085.347605702178
0,-11900,0.035,0.015,0.05,0.020000000000000004,-15087.261192248327
0,-11800,0.035,0.015,0.05,0.020000000000000004,-15089.158390039729
0,-11700,0.035,0.015,0.05,0.020000000000000004,-15091.039348057331
0,-11600,0.035,0.015,0.05,0.020000000000000004,-15092.90420788712
0,-11500,0.035,0.015,0.05,0.020000000000000004,-15094.753100385804
0,-11400,0.035,0.015,0.05,0.020000000000000004,-15096.586143628134
0,-11300,0.035,0.015,0.05,0.020000000000000004,-15098.403443315536
0,-11200,0.035,0.015,0.05,0.020000000000000004,-15100.205096717742
0,-11100,0.035,0.015,0.05,0.020000000000000004,-15101.991200757693
0,-11000,0.035,0.015,0.05,0.020000000000000004,-15103.761863993628
0,-10900,0.035,0.015,0.05,0.020000000000000004,-15105.517221069622
0,-10800,0.035,0.015,0.05,0.020000000000000004,-15107.257446893469
0,-10700,0.035,0.015,0.05,0.020000000000000004,-15108.982766687588
0,-10600,0.035,0.015,0.05,0.020000000000000004,-15110.693457547515
0,-10500,0.035,0.015,0.05,0.020000000000000004,-15112.389837600105
0,-10400,0.035,0.015,0.05,0.020000000000000004,-15114.07224047546
0,-10300,0.035,0.015,0.05,0.020000000000000004,-15115.74097548508
0,-10200,0.035,0.015,0.05,0.020000000000000004,-15117.396277171347
0,-10100,0.035,0.015,0.05,0.020000000000000004,-15119.038251004054
