sim_id,cumulative_cost,cumulative_profit,total_fee_income,total_risk_charge,terminal_inventory,terminal_cash,terminal_wealth
0,-15164.48417105692,15164.48417105692,15676.0,64.04857142857144,100.0,1013676.0,2015676.0
1,-14985.917825700602,14985.917825700602,15493.5,66.15357142857144,-1500.0,1045493.5,2015493.5
2,-15188.673728956257,15188.673728956257,15711.5,74.72000000000001,3400.0,947711.5,2015711.5
3,-15420.978849342648,15420.978849342648,15926.5,51.20785714285715,-3200.0,1079926.5,2015926.5
4,-15093.083300943712,15093.083300943712,15594.0,59.60857142857144,1200.0,991594.0,2015594.0
5,-15109.560369518687,15109.560369518687,15625.5,69.19857142857143,1200.0,991625.5,2015625.5
6,-15157.051428631064,15157.051428631064,15692.5,88.45285714285716,-4100.0,1097692.5,2015692.5
7,-15176.263855642865,15176.263855642865,15709.5,84.40857142857143,-2300.0,1061709.5,2015709.5
8,-14954.684775668255,14954.684775668255,15466.5,69.5757142857143,-200.0,1019466.5,2015466.5
9,-15201.118572230647,15201.118572230647,15702.0,57.60785714285715,0.0,1015702.0,2015702.0
10,-15122.73078921606,15122.73078921606,15653.0,82.72857142857146,-3300.0,1081653.0,2015653.0
11,-15230.688877879731,15230.688877879731,15748.5,65.82642857142858,800.0,999748.5,2015748.5
12,-15160.147162162673,15160.147162162673,15682.5,73.26500000000001,-3500.0,1085682.5,2015682.5
13,-15208.852113084775,15208.852113084775,15730.0,72.37428571428572,-3000.0,1075730.0,2015730.0
14,-15165.76453585556,15165.76453585556,15665.0,52.42642857142859,3500.0,945665.0,2015665.0
15,-15010.003142970407,15010.003142970407,15511.0,58.51642857142858,-200.0,1019511.0,2015511.0
16,-14777.560645013751,14777.560645013751,15295.0,78.81928571428573,-400.0,1023295.0,2015295.0
17,-14643.631699023128,14643.631699023128,15145.5,70.7607142857143,-1100.0,1037145.5,2015145.5
18,-15211.641953802937,15211.641953802937,15742.0,83.3557142857143,2000.0,975742.0,2015742.0
19,-15334.263300644858,15334.263300644858,15850.0,66.11071428571431,0.0,1015850.0,2015850.0
20,-14819.108026189326,14819.108026189326,15340.0,84.07428571428574,1900.0,977340.0,2015340.0
21,-15436.557716330557,15436.557716330557,15950.0,56.99214285714286,-500.0,1025950.0,2015950.0
22,-15273.86957553585,15273.86957553585,15797.5,71.04428571428573,3200.0,951797.5,2015797.5
23,-14674.2394057913,14674.2394057913,15205.0,96.63142857142859,800.0,999205.0,2015205.0
24,-15236.879417491798,15236.879417491798,15756.0,71.60857142857145,400.0,1007756.0,2015756.0
25,-14960.563315417076,14960.563315417076,15481.5,81.50928571428574,-2600.0,1067481.5,2015481.5
26,-15360.910941614933,15360.910941614933,15875.0,60.40357142857144,1600.0,983875.0,2015875.0
27,-14870.360462579447,14870.360462579447,15385.0,79.22428571428573,-1700.0,1049385.0,2015385.0
28,-14980.610460830207,14980.610460830207,15495.0,71.66428571428574,-1600.0,1047495.0,2015495.0
29,-15115.665919348763,15115.665919348763,15631.0,62.9757142857143,-1100.0,1037631.0,2015631.0
30,-15242.568571646181,15242.568571646181,15762.5,71.37857142857143,100.0,1013762.5,2015762.5
31,-14992.125489305154,14992.125489305154,15517.0,80.39785714285716,3300.0,949517.0,2015517.0
32,-15317.428877546452,15317.428877546452,15823.0,57.86357142857144,0.0,1015823.0,2015823.0
33,-15095.021837854478,15095.021837854478,15631.5,93.68214285714288,-5600.0,1127631.5,2015631.5
34,-15013.102036342676,15013.102036342676,15527.5,71.36642857142859,100.0,1013527.5,2015527.5
35,-15333.294558048823,15333.294558048823,15838.0,59.38642857142859,700.0,1001838.0,2015838.0
36,-15343.060990333313,15343.060990333313,15857.5,62.70785714285715,200.0,1011857.5,2015857.5
37,-14881.416948510356,14881.416948510356,15380.5,62.385000000000005,-3200.0,1079380.5,2015380.5
38,-15043.863748565982,15043.863748565982,15567.0,81.92357142857145,-2500.0,1065567.0,2015567.0
39,-15316.617982081563,15316.617982081563,15852.0,72.75714285714287,-4100.0,1097852.0,2015852.0
40,-15338.28654570751,15338.28654570751,15895.5,100.50714285714288,-900.0,1033895.5,2015895.5
41,-15245.91112914279,15245.91112914279,15758.0,67.1307142857143,-2500.0,1065758.0,2015758.0
42,-15251.52877418981,15251.52877418981,15775.0,79.69000000000003,2700.0,961775.0,2015775.0
43,-14696.188897248903,14696.188897248903,15227.5,94.08285714285716,-2800.0,1071227.5,2015227.5
44,-15265.501109402665,15265.501109402665,15772.0,56.291428571428575,-1500.0,1045772.0,2015772.0
45,-15022.717229785872,15022.717229785872,15530.0,65.13642857142858,2400.0,967530.0,2015530.0
46,-15387.382883817563,15387.382883817563,15920.5,84.66214285714287,400.0,1007920.5,2015920.5
47,-15308.75376252698,15308.75376252698,15792.5,31.041428571428575,700.0,1001792.5,2015792.5
48,-15156.750076727923,15156.750076727923,15694.5,90.92714285714288,-1900.0,1053694.5,2015694.5
49,-15045.101256229373,15045.101256229373,15584.5,95.53285714285715,3100.0,953584.5,2015584.5
50,-15098.319659453635,15098.319659453635,15617.5,70.69928571428572,-1500.0,1045617.5,2015617.5
51,-15077.874127478957,15077.874127478957,15595.0,77.20928571428573,1600.0,983595.0,2015595.0
52,-15297.874790807755,15297.874790807755,15822.5,73.3807142857143,3000.0,955822.5,2015822.5
53,-14982.785189754599,14982.785189754599,15494.0,73.22071428571431,3000.0,955494.0,2015494.0
54,-15100.86081683335,15100.86081683335,15619.0,76.31000000000002,3700.0,941619.0,2015619.0
55,-15393.52662367972,15393.52662367972,15895.5,51.665000000000006,-900.0,1033895.5,2015895.5
56,-15179.674056609714,15179.674056609714,15714.0,88.08785714285715,-2400.0,1063714.0,2015714.0
57,-15199.182017135827,15199.182017135827,15722.0,73.60000000000001,400.0,1007722.0,2015722.0
58,-15013.021966777123,15013.021966777123,15548.5,93.89857142857144,5800.0,899548.5,2015548.5
59,-15041.977120373973,15041.977120373973,15558.0,75.55642857142858,-2600.0,1067558.0,2015558.0
60,-14762.819078643679,14762.819078643679,15250.0,54.75857142857144,1700.0,981250.0,2015250.0
61,-15192.84840858116,15192.84840858116,15709.0,73.86285714285715,-1200.0,1039709.0,2015709.0
62,-15406.440082418896,15406.440082418896,15917.5,64.22000000000001,-700.0,1029917.5,2015917.5
63,-14822.726485502433,14822.726485502433,15353.0,89.02714285714288,-1200.0,1039353.0,2015353.0
64,-15265.428646190776,15265.428646190776,15780.0,66.92571428571429,4600.0,923780.0,2015780.0
65,-15492.596780156113,15492.596780156113,16049.0,97.15,3100.0,954049.0,2016049.0
66,-15250.509882772089,15250.509882772089,15801.5,96.5707142857143,1300.0,989801.5,2015801.5
67,-15480.982192280897,15480.982192280897,15983.0,48.89714285714287,800.0,999983.0,2015983.0
68,-14940.516847009265,14940.516847009265,15457.5,74.14428571428573,0.0,1015457.5,2015457.5
69,-15240.503778294262,15240.503778294262,15740.5,58.275714285714294,-1800.0,1051740.5,2015740.5
70,-15144.646194970683,15144.646194970683,15661.5,67.18642857142859,-1000.0,1035661.5,2015661.5
71,-15299.353594654578,15299.353594654578,15819.0,67.62785714285715,2700.0,961819.0,2015819.0
72,-15063.795147749799,15063.795147749799,15568.5,60.913571428571444,500.0,1005568.5,2015568.5
73,-15349.180594202393,15349.180594202393,15872.5,76.52214285714287,1800.0,979872.5,2015872.5
74,-14729.18373494022,14729.18373494022,15223.0,61.67500000000001,-400.0,1023223.0,2015223.0
75,-14990.336807416159,14990.336807416159,15503.5,69.32642857142858,-2800.0,1071503.5,2015503.5
76,-14896.25174728068,14896.25174728068,15395.0,60.694285714285726,-300.0,1021395.0,2015395.0
77,-15220.526123066109,15220.526123066109,15746.5,77.15714285714287,-200.0,1019746.5,2015746.5
78,-15304.209744112795,15304.209744112795,15806.0,59.204285714285724,1400.0,987806.0,2015806.0
79,-14788.211588154638,14788.211588154638,15296.0,61.923571428571435,3100.0,953296.0,2015296.0
80,-15396.169792294,15396.169792294,15915.5,72.91500000000002,2100.0,973915.5,2015915.5
81,-15104.538719269958,15104.538719269958,15621.5,73.05785714285716,700.0,1001621.5,2015621.5
82,-15022.281698279105,15022.281698279105,15519.0,52.36214285714287,-1300.0,1041519.0,2015519.0
83,-15058.044530677029,15058.044530677029,15585.0,83.25071428571431,-4900.0,1113585.0,2015585.0
84,-14972.851958480223,14972.851958480223,15478.5,65.45642857142857,-2000.0,1055478.5,2015478.5
85,-15151.19711013607,15151.19711013607,15669.5,69.45357142857145,-1300.0,1041669.5,2015669.5
86,-14806.571610769563,14806.571610769563,15312.0,71.31428571428573,-1300.0,1041312.0,2015312.0
87,-15332.819627168321,15332.819627168321,15865.5,85.17714285714288,-5000.0,1115865.5,2015865.5
88,-15142.316645795683,15142.316645795683,15672.0,78.87285714285716,5100.0,913672.0,2015672.0
89,-14673.035674724233,14673.035674724233,15166.0,57.610714285714295,0.0,1015166.0,2015166.0
90,-15175.152167606893,15175.152167606893,15697.5,77.67642857142859,-1400.0,1043697.5,2015697.5
91,-15178.1141881283,15178.1141881283,15719.0,93.49000000000001,-3400.0,1083719.0,2015719.0
92,-14996.862173716308,14996.862173716308,15500.5,60.343571428571444,-500.0,1025500.5,2015500.5
93,-15215.712464999413,15215.712464999413,15726.5,63.55928571428572,1500.0,985726.5,2015726.5
94,-15166.18555734346,15166.18555734346,15705.0,97.7407142857143,2700.0,961705.0,2015705.0
95,-14850.109912105447,14850.109912105447,15389.5,99.95214285714287,1400.0,987389.5,2015389.5
96,-15068.683904781788,15068.683904781788,15587.0,77.44857142857144,-1900.0,1053587.0,2015587.0
97,-15406.477022466272,15406.477022466272,15923.5,64.7857142857143,-200.0,1019923.5,2015923.5
98,-14890.292103600616,14890.292103600616,15435.5,108.50142857142859,-600.0,1027435.5,2015435.5
99,-15238.657744999113,15238.657744999113,15786.0,99.70000000000002,1000.0,995786.0,2015786.0
100,-15448.199034244133,15448.199034244133,15966.0,61.67,1000.0,995966.0,2015966.0
101,-15462.113906375773,15462.113906375773,15989.5,77.28357142857143,-300.0,1021989.5,2015989.5
102,-15304.25742567176,15304.25742567176,15820.5,67.35500000000002,-3100.0,1077820.5,2015820.5
103,-15362.912061518167,15362.912061518167,15917.0,101.87785714285715,-1100.0,1037917.0,2015917.0
104,-15125.491366522438,15125.491366522438,15684.5,111.54857142857146,2100.0,973684.5,2015684.5
105,-15228.887726020837,15228.887726020837,15754.0,72.47142857142859,0.0,1015754.0,2015754.0
106,-15157.74096836058,15157.74096836058,15717.5,110.67928571428573,4500.0,925717.5,2015717.5
107,-14975.92495759613,14975.92495759613,15505.0,88.8707142857143,4100.0,933505.0,2015505.0
108,-14910.725530915613,14910.725530915613,15439.5,79.41428571428574,600.0,1003439.5,2015439.5
109,-15247.974317794891,15247.974317794891,15765.0,72.40142857142858,-4700.0,1109765.0,2015765.0
110,-15306.000971185022,15306.000971185022,15831.5,78.45928571428573,2600.0,963831.5,2015831.5
111,-15179.3510822713,15179.3510822713,15702.0,71.41285714285715,1700.0,981702.0,2015702.0
112,-14971.37976867771,14971.37976867771,15492.5,84.63857142857145,1200.0,991492.5,2015492.5
113,-14915.460439179631,14915.460439179631,15437.5,76.28785714285715,-1000.0,1035437.5,2015437.5
114,-15196.849043197028,15196.849043197028,15737.0,93.23857142857145,-2700.0,1069737.0,2015737.0
115,-15242.633306585216,15242.633306585216,15757.5,71.53285714285715,-1000.0,1035757.5,2015757.5
116,-15239.89253925358,15239.89253925358,15786.0,96.06642857142859,-1700.0,1049786.0,2015786.0
117,-14925.457364068228,14925.457364068228,15435.0,72.19928571428572,400.0,1007435.0,2015435.0
118,-15268.43854495412,15268.43854495412,15772.0,55.322142857142865,-1100.0,1037772.0,2015772.0
119,-15116.881791822201,15116.881791822201,15628.5,62.19214285714287,-1400.0,1043628.5,2015628.5
120,-15000.620816129296,15000.620816129296,15530.0,90.0914285714286,3600.0,943530.0,2015530.0
121,-14952.637990046569,14952.637990046569,15447.5,55.87714285714286,-3100.0,1077447.5,2015447.5
122,-15044.255576835054,15044.255576835054,15528.5,44.81071428571429,0.0,1015528.5,2015528.5
123,-15030.832397831451,15030.832397831451,15527.5,50.899285714285725,300.0,1009527.5,2015527.5
124,-15259.027092665252,15259.027092665252,15775.0,65.97857142857144,-300.0,1021775.0,2015775.0
125,-14940.136831570491,14940.136831570491,15445.0,64.4857142857143,1600.0,983445.0,2015445.0
