sim_id,t,q,F
0,0,10000.0,800000.0
0,1,8900.0,822061.5
0,2,7900.0,842131.0
0,3,7800.0,844183.0
0,4,6800.0,864263.0
0,5,6200.0,876310.0
0,6,6100.0,878362.0
0,7,6200.0,876415.0
0,8,5100.0,898477.0
0,9,4700.0,906540.0
0,10,4300.0,914598.0
0,11,3000.0,940674.0
0,12,2000.0,960714.0
0,13,1800.0,964779.0
0,14,2200.0,956819.0
0,15,1700.0,966914.0
0,16,1100.0,978969.0
0,17,1500.0,971024.0
0,18,900.0,983094.0
0,19,500.0,991179.0
0,20,0.0,1001241.5
0,21,300.0,995304.0
0,22,900.0,983394.0
0,23,300.0,995449.0
0,24,100.0,999504.0
0,25,-200.0,1005556.5
0,26,-300.0,1007644.0
0,27,600.0,989711.5
0,28,400.0,993776.5
0,29,100.0,999819.0
0,30,0.0,1001861.5
0,31,400.0,993931.5
0,32,400.0,993996.5
0,33,600.0,990051.5
0,34,0.0,1002096.5
0,35,800.0,986156.5
0,36,600.0,990211.5
0,37,800.0,986266.5
0,38,1200.0,978331.5
0,39,1600.0,970381.5
0,40,1300.0,976429.0
0,41,1500.0,972489.0
0,42,1600.0,970526.5
0,43,1400.0,974581.5
0,44,1400.0,974641.5
0,45,1700.0,968714.0
0,46,500.0,992789.0
0,47,800.0,986836.5
0,48,1000.0,982931.5
0,49,1600.0,970996.5
0,50,500.0,993059.0
0,51,1200.0,979126.5
0,52,1400.0,975191.5
0,53,900.0,985254.0
0,54,800.0,987306.5
0,55,600.0,991366.5
0,56,300.0,997414.0
0,57,1000.0,983486.5
0,58,900.0,985554.0
0,59,2300.0,957624.0
0,60,1900.0,965700.0
0,61,2400.0,955752.5
0,62,1300.0,977807.5
0,63,700.0,989847.5
0,64,1300.0,977912.5
0,65,2000.0,963990.0
0,66,1400.0,976035.0
0,67,1000.0,984100.0
0,68,500.0,994162.5
0,69,700.0,990207.5
0,70,300.0,998287.5
0,71,700.0,990332.5
0,72,-300.0,1010397.5
0,73,-400.0,1012455.0
0,74,0.0,1004530.0
0,75,0.0,1004585.0
0,76,200.0,1000680.0
0,77,1500.0,974747.5
0,78,1200.0,980810.0
0,79,1300.0,978867.5
0,80,1400.0,976925.0
0,81,700.0,990992.5
0,82,500.0,995062.5
0,83,300.0,999142.5
0,84,600.0,993200.0
0,85,800.0,989250.0
0,86,200.0,1001310.0
0,87,900.0,987367.5
0,88,500.0,995432.5
0,89,400.0,997490.0
0,90,100.0,1003542.5
0,91,0.0,1005610.0
0,92,-400.0,1013675.0
0,93,-1000.0,1025745.0
0,94,-100.0,1007807.5
0,95,-100.0,1007867.5
0,96,-1100.0,1027947.5
0,97,-800.0,1022010.0
0,98,-600.0,1018075.0
0,99,-600.0,1018145.0
0,100,100.0,1004217.5
0,101,-100.0,1008287.5
0,102,-400.0,1014340.0
0,103,-1100.0,1028422.5
0,104,-1000.0,1026485.0
0,105,-900.0,1024557.5
0,106,-800.0,1022615.0
0,107,-1100.0,1028682.5
0,108,-2000.0,1046740.0
0,109,-1600.0,1038805.0
0,110,-400.0,1014875.0
0,111,-800.0,1022940.0
0,112,-900.0,1024982.5
0,113,-1100.0,1029037.5
0,114,-1700.0,1041092.5
0,115,-2100.0,1049127.5
0,116,-1700.0,1041187.0
0,117,-1900.0,1045237.0
0,118,-1800.0,1043294.5
0,119,-2200.0,1051369.5
0,120,-2500.0,1057417.0
0,121,-1500.0,1037457.0
0,122,-1900.0,1045542.0
0,123,-2500.0,1057592.0
0,124,-1700.0,1041643.0
0,125,-1500.0,1037688.0
0,126,-1500.0,1037733.0
0,127,-2000.0,1047785.5
0,128,-1700.0,1041853.0
0,129,-2400.0,1055910.5
0,130,-2200.0,1051970.5
0,131,-1800.0,1044019.0
0,132,-2600.0,1060084.0
0,133,-3000.0,1068141.0
0,134,-2500.0,1058206.0
0,135,-3100.0,1070289.0
